Shop,Date,KPI,Value,MoM_%,YoY_%
Aksarben Village,2023-03-01,new_client_retention,0.082,0.0,-78.42105263157895
Aksarben Village,2023-04-01,new_client_retention,0.058,-29.268292682926834,-77.6923076923077
Aksarben Village,2023-05-01,new_client_retention,0.089,53.448275862068954,-65.76923076923077
Aksarben Village,2023-06-01,new_client_retention,0.075,-15.73033707865168,-75.80645161290323
Aksarben Village,2023-07-01,new_client_retention,0.085,13.333333333333353,-63.043478260869556
Aksarben Village,2023-08-01,new_client_retention,0.067,-21.176470588235297,-72.08333333333333
Aksarben Village,2023-09-01,new_client_retention,0.075,11.940298507462677,-76.5625
Aksarben Village,2023-10-01,new_client_retention,0.081,8.000000000000007,-75.45454545454545
Aksarben Village,2023-11-01,new_client_retention,0.05,-38.27160493827161,-80.84905660066607
Aksarben Village,2023-12-01,new_client_retention,,0.0,-81.06557377269564
Aksarben Village,2024-01-01,new_client_retention,0.09,79.99999999999999,-4.255319148936176
Aksarben Village,2024-02-01,new_client_retention,0.12,33.33333333333333,46.34146341463414
Aksarben Village,2024-03-01,new_client_retention,0.1,-16.666666666666664,21.95121951219512
Aksarben Village,2024-04-01,new_client_retention,0.15,49.99999999999998,158.62068965517238
Aksarben Village,2024-05-01,new_client_retention,0.1,-33.33333333333333,12.35955056179776
Aksarben Village,2024-06-01,new_client_retention,0.08,-20.000000000000007,6.666666666666665
Aksarben Village,2024-07-01,new_client_retention,0.1,25.0,17.647058823529417
Aksarben Village,2024-08-01,new_client_retention,0.09,-10.000000000000009,34.32835820895521
Aksarben Village,2024-09-01,new_client_retention,0.1,11.111111111111116,33.33333333333335
Aksarben Village,2024-10-01,new_client_retention,0.3,199.99999999999994,270.3703703703703
Aksarben Village,2024-11-01,new_client_retention,0.09,-70.0,79.99999999999999
Aksarben Village,2024-12-01,new_client_retention,0.07,-22.22222222222221,40.000000000000014
Aksarben Village,2025-01-01,new_client_retention,0.16,128.57142857142856,77.77777777777779
Aksarben Village,2025-02-01,new_client_retention,0.14,-12.49999999999999,16.666666666666675
Aksarben Village,2025-03-01,new_client_retention,0.1,-28.57142857142857,0.0
Aksarben Village,2025-04-01,new_client_retention,,0.0,-33.33333333333333
Aksarben Village,2025-05-01,new_client_retention,,0.0,0.0
Aksarben Village,2025-06-01,new_client_retention,,0.0,25.0
Aksarben Village,2025-07-01,new_client_retention,,0.0,0.0
Aksarben Village,2025-08-01,new_client_retention,,0.0,11.111111111111116
Aksarben Village,2025-09-01,new_client_retention,,0.0,0.0
Aksarben Village,2025-10-01,new_client_retention,,0.0,-66.66666666666666
Aksarben Village,2025-11-01,new_client_retention,,0.0,11.111111111111116
Aksarben Village,2025-12-01,new_client_retention,,0.0,42.85714285714286
Aksarben Village,2021-01-01,new_clients,,,
Aksarben Village,2021-02-01,new_clients,,,
Aksarben Village,2021-03-01,new_clients,,,
Aksarben Village,2021-04-01,new_clients,130.0,,
Aksarben Village,2021-05-01,new_clients,154.0,18.461538461538463,
Aksarben Village,2021-06-01,new_clients,193.0,25.324675324675326,
Aksarben Village,2021-07-01,new_clients,186.0,-3.626943005181349,
Aksarben Village,2021-08-01,new_clients,134.0,-27.956989247311824,
Aksarben Village,2021-09-01,new_clients,155.0,15.671641791044767,
Aksarben Village,2021-10-01,new_clients,178.0,14.83870967741936,
Aksarben Village,2021-11-01,new_clients,114.0,-35.95505617977528,
Aksarben Village,2021-12-01,new_clients,117.0,2.6315789473684292,
Aksarben Village,2022-01-01,new_clients,60.0,-48.71794871794872,
Aksarben Village,2022-02-01,new_clients,107.0,78.33333333333334,
Aksarben Village,2022-03-01,new_clients,105.0,-1.869158878504673,
Aksarben Village,2022-04-01,new_clients,116.0,10.476190476190483,-10.769230769230765
Aksarben Village,2022-05-01,new_clients,115.0,-0.8620689655172376,-25.324675324675326
Aksarben Village,2022-06-01,new_clients,159.0,38.26086956521739,-17.616580310880824
Aksarben Village,2022-07-01,new_clients,103.0,-35.22012578616353,-44.623655913978496
Aksarben Village,2022-08-01,new_clients,184.0,78.64077669902913,37.31343283582089
Aksarben Village,2022-09-01,new_clients,185.0,0.5434782608695565,19.354838709677423
Aksarben Village,2022-10-01,new_clients,153.0,-17.2972972972973,-14.04494382022472
Aksarben Village,2022-11-01,new_clients,203.0,32.6797385620915,78.0701754385965
Aksarben Village,2022-12-01,new_clients,231.0,13.793103448275868,97.43589743589745
Aksarben Village,2023-01-01,new_clients,212.0,-8.225108225108224,253.33333333333331
Aksarben Village,2023-02-01,new_clients,181.0,-14.622641509433965,69.1588785046729
Aksarben Village,2023-03-01,new_clients,224.0,23.756906077348063,113.33333333333333
Aksarben Village,2023-04-01,new_clients,190.0,-15.17857142857143,63.793103448275865
Aksarben Village,2023-05-01,new_clients,199.0,4.73684210526315,73.04347826086956
Aksarben Village,2023-06-01,new_clients,186.0,-6.5326633165829096,16.981132075471695
Aksarben Village,2023-07-01,new_clients,155.0,-16.666666666666664,50.48543689320388
Aksarben Village,2023-08-01,new_clients,140.0,-9.677419354838712,-23.913043478260864
Aksarben Village,2023-09-01,new_clients,155.0,10.71428571428572,-16.216216216216218
Aksarben Village,2023-10-01,new_clients,119.0,-23.225806451612907,-22.22222222222222
Aksarben Village,2023-11-01,new_clients,105.0,-11.764705882352944,-48.275862068965516
Aksarben Village,2023-12-01,new_clients,103.0,-1.904761904761909,-55.41125541125541
Aksarben Village,2024-01-01,new_clients,78.0,-24.271844660194176,-63.20754716981132
Aksarben Village,2024-02-01,new_clients,105.0,34.61538461538463,-41.988950276243095
Aksarben Village,2024-03-01,new_clients,63.0,-40.0,-71.875
Aksarben Village,2024-04-01,new_clients,80.0,26.984126984126977,-57.89473684210527
Aksarben Village,2024-05-01,new_clients,80.0,0.0,-59.798994974874375
Aksarben Village,2024-06-01,new_clients,78.0,-2.500000000000002,-58.06451612903225
Aksarben Village,2024-07-01,new_clients,119.0,52.564102564102555,-23.225806451612907
Aksarben Village,2024-08-01,new_clients,136.0,14.28571428571428,-2.857142857142858
Aksarben Village,2024-09-01,new_clients,109.0,-19.852941176470583,-29.677419354838708
Aksarben Village,2024-10-01,new_clients,88.0,-19.266055045871553,-26.050420168067223
Aksarben Village,2024-11-01,new_clients,91.0,3.409090909090917,-13.33333333333333
Aksarben Village,2024-12-01,new_clients,69.0,-24.17582417582418,-33.009708737864074
Aksarben Village,2025-01-01,new_clients,93.0,34.78260869565217,19.23076923076923
Aksarben Village,2025-02-01,new_clients,87.0,-6.451612903225811,-17.14285714285714
Aksarben Village,2025-03-01,new_clients,62.0,-28.735632183908045,-1.5873015873015928
Aksarben Village,2025-04-01,new_clients,,0.0,-22.499999999999996
Aksarben Village,2025-05-01,new_clients,,0.0,-22.499999999999996
